States/Union_Territorries,1951,1961,1971,1981,1991,2001,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Andaman & Nicobar Islands,30.3,40.07,51.15,63.19,73.02,81.3,86.27,86.27,86.27,86.27,86.27,86.27,86.27,86.27,86.27,86.27,86.27
Andhra Pradesh,0,21.19,24.57,35.66,44.08,60.47,67.66,67.53293148,67.4061016,67.27950991,67.15315597,67.02703932,66.90115953,66.77551614,66.65010872,66.52493682,66.4
Aru0chal Pradesh,0,7.13,11.29,25.55,41.59,54.34,66.95,66.95,66.95,66.95,66.95,66.95,66.95,66.95,66.95,66.95,66.95
Assam,18.53,32.95,33.94,0,52.89,63.25,73.18,74.362243,75.56358547,76.78433595,78.024808,79.2853202,80.56619634,81.86776537,83.19036161,84.53432476,85.9
Bihar,13.49,21.95,23.17,32.32,37.49,47,63.82,64.4949549,65.17704806,65.86635499,66.56295196,67.26691609,67.97832528,68.69725827,69.42379464,70.1580148,70.9
Chandigarh,0,0,70.43,74.8,77.81,81.94,86.43,86.43,86.43,86.43,86.43,86.43,86.43,86.43,86.43,86.43,86.43
Chhattisgarh,9.41,18.14,24.08,32.63,42.91,64.66,71.04,71.6424793,72.25006814,72.86280984,73.48074811,74.10392702,74.73239102,75.36618492,76.00535393,76.64994363,77.3
Dadra & 0gar Haveli,0,0,18.13,32.9,40.71,57.63,77.65,77.65,77.65,77.65,77.65,77.65,77.65,77.65,77.65,77.65,77.65
Daman & Diu,0,0,0,0,71.2,78.18,87.07,87.07,87.07,87.07,87.07,87.07,87.07,87.07,87.07,87.07,87.07
Delhi,0,61.95,65.08,71.94,75.29,81.67,86.34,86.57314643,86.80692243,87.0413297,87.27636995,87.51204489,87.74835622,87.98530567,88.22289497,88.46112583,88.7
Goa,23.48,35.41,51.96,65.71,75.51,82.01,87.4,87.4,87.4,87.4,87.4,87.4,87.4,87.4,87.4,87.4,87.4
Gujarat,21.82,31.47,36.95,44.92,61.29,69.14,79.31,79.61371248,79.91858801,80.22463104,80.53184604,80.84023751,81.14980993,81.46056785,81.77251579,82.08565832,82.4
Harya0,0,0,25.71,37.13,55.85,67.91,76.64,77.00794805,77.37766261,77.74915217,78.12242525,78.49749041,78.87435625,79.25303142,79.63352461,80.01584455,80.4
Himachal Pradesh,0,0,0,0,63.86,76.48,83.78,84.05781749,84.33655623,84.61621928,84.89680971,85.17833058,85.46078498,85.74417602,86.02850678,86.3137804,86.6
Jammu & Kashmir,0,12.95,21.71,30.64,0,55.52,68.74,69.55150379,70.37258771,71.20336487,72.04394969,72.89445795,73.75500681,74.62571481,75.50670187,76.39808934,77.3
Jharkhand,12.93,21.14,23.87,35.03,41.39,53.56,67.63,68.26912398,68.91428787,69.56554875,70.22296425,70.88659253,71.55649229,72.23272281,72.91534391,73.60441598,74.3
Kar0taka,0,29.8,36.83,46.21,56.04,66.64,75.6,75.75849631,75.9173249,76.07648649,76.23598175,76.3958114,76.55597614,76.71647666,76.87731368,77.03848789,77.2
Kerala,47.18,55.08,69.75,78.85,89.81,90.86,93.91,94.13652526,94.36359693,94.59121633,94.81938478,95.04810361,95.27737415,95.50719772,95.73757566,95.96850931,96.2
Lakshadweep,15.23,27.15,51.76,68.42,81.78,86.66,92.28,92.28,92.28,92.28,92.28,92.28,92.28,92.28,92.28,92.28,92.28
Madhya Pradesh,13.16,21.41,27.27,38.63,44.67,63.74,70.63,70.93115544,71.23359497,71.53732405,71.84234818,72.14867289,72.45630372,72.76524624,73.07550605,73.38708875,73.7
Maharashtra,27.91,35.08,45.77,57.24,64.87,76.88,82.91,83.09708875,83.28459968,83.47253373,83.66089185,83.84967501,84.03888417,84.22852028,84.41858431,84.60907723,84.8
Manipur a,12.57,36.04,38.47,49.66,59.89,70.53,79.85,79.85,79.85,79.85,79.85,79.85,79.85,79.85,79.85,79.85,79.85
Meghalaya,0,26.92,29.49,42.05,49.1,62.56,75.48,75.48,75.48,75.48,75.48,75.48,75.48,75.48,75.48,75.48,75.48
Mizoram,31.14,44.01,53.8,59.88,82.26,88.8,91.58,91.58,91.58,91.58,91.58,91.58,91.58,91.58,91.58,91.58,91.58
0galand,10.52,21.95,33.78,50.28,61.65,66.59,80.11,80.11,80.11,80.11,80.11,80.11,80.11,80.11,80.11,80.11,80.11
Odisha,15.8,21.66,26.18,33.62,49.09,63.08,73.45,73.82620928,74.2043455,74.58441853,74.96643828,75.35041473,75.7363579,76.12427786,76.51418473,76.90608871,77.3
Puducherry,0,43.65,53.38,65.14,74.74,81.24,86.55,86.55,86.55,86.55,86.55,86.55,86.55,86.55,86.55,86.55,86.55
Punjab,0,0,34.12,43.37,58.51,69.65,76.68,77.35465252,78.03524082,78.72181713,79.41443414,80.11314499,80.8180033,81.52906315,82.2463791,82.97000621,83.7
Rajasthan,8.5,18.12,22.57,30.11,38.55,60.41,67.06,67.31943649,67.57987667,67.84132442,68.10378364,68.36725825,68.63175216,68.89726932,69.1638137,69.43138926,69.7
Sikkim,0,0,17.74,34.05,56.94,68.81,82.2,82.2,82.2,82.2,82.2,82.2,82.2,82.2,82.2,82.2,82.2
Tamil 0du,0,36.39,45.4,54.39,62.66,73.45,80.33,80.58337328,80.83754574,81.0925199,81.34829828,81.60488343,81.86227789,82.12048421,82.37950496,82.6393427,82.9
Telengana,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tripura,0,20.24,30.98,50.1,60.44,73.19,87.75,87.75,87.75,87.75,87.75,87.75,87.75,87.75,87.75,87.75,87.75
Uttar Pradesh,12.02,20.87,23.99,32.65,40.71,56.27,69.72,70.0412562,70.36399268,70.68821627,71.01393383,71.34115222,71.66987837,72.00011923,72.33188178,72.66517302,73
Uttarakhand,18.93,18.05,33.26,46.06,57.75,71.62,79.63,80.39322572,81.16376669,81.94169303,82.72707552,83.51998563,84.32049551,85.12867799,85.94460662,86.76835563,87.6
West Bengal,24.61,34.46,38.86,48.65,57.7,68.64,77.08,77.41535745,77.75217397,78.0904559,78.43020962,78.77144153,79.11415805,79.45836567,79.80407084,80.15128011,80.5
